Nº Processo,Natureza do Processo,Forma de Cadastramento,Crédito
21711,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
17602,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
10029,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
30455,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
6466,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
24784,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
15553,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
33841,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
22515,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
38195,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
31646,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
14297,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
2671,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
12485,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
24790,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
34141,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
41678,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
6434,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
8072,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
43090,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
40796,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
10005,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
27133,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
13246,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
8159,DIGITAL,Automático,Restituição de Pagamento Indevido ou a Maior
1274,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
29035,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
21724,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
43195,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
26221,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
25664,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
8954,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
6663,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
8700,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
2367,DIGITAL,Manual,Restituição de Contribuição Previdenciária Indevida ou a Maior
13744,ELETRÔNICO,Automático,Restituição de Contribuição Previdenciária Indevida ou a Maior
22502,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
24145,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
18470,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
11626,ELETRÔNICO,Automático,Restituição de Pagamento Indevido ou a Maior
